Leto;Stevilo;Stadij;Vsi
2001;734;Podatka ne vnasamo;9706
2002;647;Podatka ne vnasamo;10002
2003;714;Podatka ne vnasamo;10446
2004;705;Podatka ne vnasamo;11059
2005;799;Podatka ne vnasamo;11181
2006;828;Podatka ne vnasamo;11478
2007;845;Podatka ne vnasamo;12020
2008;863;Podatka ne vnasamo;12531
2009;888;Podatka ne vnasamo;12622
2010;911;Podatka ne vnasamo;13430
2011;964;Podatka ne vnasamo;13484
2012;1008;Podatka ne vnasamo;13647
2013;1025;Podatka ne vnasamo;14044
2014;1106;Podatka ne vnasamo;14072
2015;1136;Podatka ne vnasamo;14698
2016;1165;Podatka ne vnasamo;15186
1961;2766;Neznan;3164
1962;2807;Neznan;3276
1963;2909;Neznan;3330
1964;2941;Neznan;3399
1965;3043;Neznan;3463
1966;3278;Neznan;3784
1967;3330;Neznan;3845
1968;703;Neznan;3774
1969;689;Neznan;3823
1970;652;Neznan;3971
1971;756;Neznan;4108
1972;595;Neznan;4273
1973;554;Neznan;4387
1974;436;Neznan;4426
1975;447;Neznan;4713
1976;471;Neznan;4777
1977;417;Neznan;4795
1978;450;Neznan;4914
1979;410;Neznan;4958
1980;438;Neznan;5214
1981;502;Neznan;5372
1982;503;Neznan;5215
1983;502;Neznan;5312
1984;476;Neznan;5508
1985;442;Neznan;5556
1986;590;Neznan;5899
1987;587;Neznan;5895
1988;632;Neznan;5986
1989;704;Neznan;6320
1990;633;Neznan;6509
1991;656;Neznan;6707
1992;591;Neznan;7134
1993;653;Neznan;7419
1994;649;Neznan;7499
1995;674;Neznan;7758
1996;494;Neznan;7808
1997;598;Neznan;8618
1998;526;Neznan;8877
1999;549;Neznan;9034
2000;544;Neznan;9165
2001;461;Neznan;9706
2002;502;Neznan;10002
2003;462;Neznan;10446
2004;501;Neznan;11059
2005;512;Neznan;11181
2006;468;Neznan;11478
2007;413;Neznan;12020
2008;378;Neznan;12531
2009;360;Neznan;12622
2010;259;Neznan;13430
2011;190;Neznan;13484
2012;137;Neznan;13647
2013;167;Neznan;14044
2014;157;Neznan;14072
2015;233;Neznan;14698
2016;210;Neznan;15186
